Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2025-07-02 19:00,Long Trail,39.311,3.725,145.271275,1.02,0.70,1.75,1.20,-8.13,-5.59,0.84,0.08
1,Entry long,2025-07-01 16:15,buy,38.999,3.725,145.271275,1.02,0.70,1.75,1.20,-8.13,-5.59,0.84,0.08
2,Exit long,2025-07-02 19:00,Long Trail,39.311,1.331,51.066477,1.2,2.36,1.31,2.56,-2.06,-4.04,2.07,0.21
2,Entry long,2025-07-01 21:15,L_2,38.367,1.331,51.066477,1.2,2.36,1.31,2.56,-2.06,-4.04,2.07,0.21
3,Exit long,2025-07-02 19:00,Long Trail,39.311,2.988,114.640596,2.7,2.36,2.94,2.56,-4.63,-4.04,4.83,0.48
3,Entry long,2025-07-01 21:15,L_2,38.367,2.988,114.640596,2.7,2.36,2.94,2.56,-4.63,-4.04,4.83,0.48
4,Exit long,2025-07-02 19:00,Long Trail,39.311,0.737,27.535057,1.41,5.11,1.47,5.32,-0.4,-1.45,6.25,0.63
4,Entry long,2025-07-01 22:15,L_3,37.361,0.737,27.535057,1.41,5.11,1.47,5.32,-0.4,-1.45,6.25,0.63
5,Exit long,2025-07-02 19:00,Long Trail,39.311,4.319,161.362159,8.26,5.11,8.6,5.32,-2.35,-1.45,14.59,1.46
5,Entry long,2025-07-01 22:15,L_3,37.361,4.319,161.362159,8.26,5.11,8.6,5.32,-2.35,-1.45,14.59,1.46
6,Exit long,2025-07-03 12:30,Long Cond TP,40.992,3.65,145.27365,4.2,2.89,4.33,2.98,-0.54,-0.37,18.79,1.88
6,Entry long,2025-07-03 03:15,buy,39.801,3.65,145.27365,4.2,2.89,4.33,2.98,-0.54,-0.37,18.79,1.88
7,Exit long,2025-07-04 11:00,Long Cond SL,38.298,3.579,145.250136,-8.32,-5.73,2.26,1.56,-8.68,-5.98,10.29,1.03
