;All USDT;All %;Long USDT;Long %;Short USDT;Short %
Total trades;331;;331;;0;
Total open trades;2;;2;;0;
Winning trades;248;;248;;0;
Losing trades;83;;83;;0;
Percent profitable;;74.92;;74.92;;
Avg P&L;1.28;1.12;1.28;1.12;;
Avg winning trade;3.89;2.87;3.89;2.87;;
Avg losing trade;6.52;4.08;6.52;4.08;;
Ratio avg win / avg loss;0.597;;0.597;;;
Largest winning trade;12.81;;12.81;;;
Largest winning trade percent;;6.78;;6.78;;
Largest losing trade;14.12;;14.12;;;
Largest losing trade percent;;9.71;;9.71;;
Avg # bars in trades;56;;56;;0;
Avg # bars in winning trades;50;;50;;0;
Avg # bars in losing trades;75;;75;;0;
