INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:backend.services.websocket_manager:\U0001f680 WebSocket manager started
INFO:backend.services.websocket_manager:Connecting to wss://stream.bybit.com/v5/public/linear
WARNING:backend.services.websocket_manager:Connection timeout
INFO:ws_publisher:Prometheus metrics HTTP server started on 0.0.0.0:8001
INFO:ws_publisher:Starting fake publisher -> Redis redis://localhost:6379/0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760814999118-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760814999120-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815000242-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815000244-0
INFO:backend.services.websocket_manager:\u2705 WebSocket connected
INFO:backend.services.websocket_manager:\U0001f4e1 Subscribed to 4 topics
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815001352-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815001354-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815002461-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815002462-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815003567-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815003569-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815004674-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815004675-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815005781-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815005782-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815006889-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815006892-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815007999-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815008001-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815009109-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815009112-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815010219-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815010222-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815011331-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815011334-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815012441-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815012443-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815013551-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815013554-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815014663-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815014665-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815015772-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815015775-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815016884-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815016887-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815017995-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815017997-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815019105-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815019108-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815020219-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815020221-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815021327-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815021329-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815022435-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815022438-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815023545-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815023547-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815024653-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815024656-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815025764-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815025766-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815026874-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815026878-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815027984-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815027986-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815029090-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815029092-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815030197-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815030199-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815031307-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815031309-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815032415-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815032416-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815033522-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815033524-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815034630-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815034632-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815035739-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815035740-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815036847-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815036848-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815037953-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815037954-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815039061-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815039063-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815040169-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815040172-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815041278-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815041280-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815042389-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815042391-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815043496-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815043497-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815044602-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815044614-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815045718-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815045720-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815046826-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815046827-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815047933-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815048106-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815049234-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815049235-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815050352-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815050353-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815051457-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815051459-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815052581-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815052584-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815053690-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815053702-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815054809-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815054810-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815055916-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815055917-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815057022-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815057025-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815058139-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815058140-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815059247-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815059250-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815060357-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815060361-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815061468-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815061470-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815062575-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815062576-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815063680-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815063682-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815064787-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815064789-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815065895-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815065896-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815067001-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815067003-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815068109-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815068110-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815069216-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815069218-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815070326-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815070328-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815071435-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815071439-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815072547-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815072550-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815073660-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815073663-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815074771-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815074775-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815075884-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815075887-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815076994-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815076996-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815078103-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815078104-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815079210-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815079212-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815080320-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815080321-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815081428-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815081430-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815082537-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815082539-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815083645-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815083648-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815084757-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815084759-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815085866-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815085868-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815086976-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815086978-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815088086-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815088088-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815089197-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815089201-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815090308-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815090311-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815091420-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815091424-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815092532-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815092535-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815093643-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815093647-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815094756-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815094759-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815095868-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815095967-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815097075-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760815097079-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760815098185-0
