INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: BTCUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: BTCUSDT
INFO:backend.services.websocket_manager:\U0001f4ca Subscribed to kline: ETHUSDT 1
INFO:backend.services.websocket_manager:\U0001f4b1 Subscribed to trades: ETHUSDT
INFO:ws_publisher:Starting WebSocket publisher
INFO:backend.services.websocket_manager:\U0001f680 WebSocket manager started
INFO:backend.services.websocket_manager:Connecting to wss://stream.bybit.com/v5/public/linear
WARNING:backend.services.websocket_manager:Connection timeout
INFO:ws_publisher:Prometheus metrics HTTP server started on 0.0.0.0:8001
INFO:ws_publisher:Starting fake publisher -> Redis redis://localhost:6379/0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881607018-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881607020-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881608144-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881608145-0
INFO:backend.services.websocket_manager:\u2705 WebSocket connected
INFO:backend.services.websocket_manager:\U0001f4e1 Subscribed to 4 topics
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881609251-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881609253-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881610359-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881610360-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881611466-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881611467-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881612572-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881612573-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881613679-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881613680-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881614785-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881614787-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881615893-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881615896-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881617001-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881617003-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881618108-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881618111-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881619217-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881619255-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881620362-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881620363-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881621469-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881621470-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881622577-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881622578-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881623686-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881623688-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881624793-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881624795-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881625903-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881625906-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881627014-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881627016-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881628122-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881628124-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881629230-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881629232-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881630337-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881630338-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881631445-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881631447-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881632553-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881632555-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881633659-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881633661-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881634767-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881634769-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881635874-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881635877-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881636982-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881636984-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881638090-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881638092-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881639199-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881639201-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881640328-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881640347-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881641455-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881641457-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881642564-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881642566-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881643673-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881643748-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881644856-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881644859-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881645967-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881645969-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881647075-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881647076-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881648183-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881648187-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881649295-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881649298-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881650408-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881650411-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881651518-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881651520-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881652625-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881652626-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881653734-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881653735-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881654842-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881654845-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881655952-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881655955-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881657063-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881657067-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881658175-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881658178-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881659287-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881659290-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881660397-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881660399-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881661505-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881661507-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881662612-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881662615-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881663723-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881663726-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881664833-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881664834-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881665941-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881665942-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881667048-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881667049-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881668156-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881668158-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881669263-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881669265-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881670371-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881670372-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881671479-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881671480-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881672585-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881672586-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881673691-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881673743-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881674849-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881674850-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881675956-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881675957-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881677063-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881677064-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881678168-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881678169-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881679274-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881679275-0
INFO:ws_publisher:Fake publisher heartbeat: running
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881680382-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881680382-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881681487-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881681488-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881682595-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881682597-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881683701-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881683702-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881684806-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881684808-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881685912-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881685913-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881687018-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881687019-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881688123-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881688192-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881689296-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881689298-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881690404-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881690405-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881691512-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881691513-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881692621-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881692623-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881693729-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881693731-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881694838-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881694839-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881695945-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881695948-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881697056-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881697057-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881698164-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881698247-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881699354-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881699366-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881700472-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881700473-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881701580-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881701581-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881702685-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881702686-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881703792-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881703793-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881704974-0
INFO:ws_publisher:Fake XADD stream:candles:ETHUSDT:1 id=1760881704976-0
INFO:ws_publisher:Fake XADD stream:candles:BTCUSDT:1 id=1760881706081-0
