№ Сделки,Тип,Дата и время,Сигнал,Цена USDT,Размер позиции (кол-во),Размер позиции (цена),Чистая прибыль / убыток USDT,Чистая прибыль / убыток %,Благоприятное отклонение USDT,Благоприятное отклонение %,Неблагоприятное отклонение USDT,Неблагоприятное отклонение %,Совокупные ПР/УБ USDT,Совокупные ПР/УБ %
1,Exit short,2025-01-07 03:30,SL Hit,102691.7,0.010624,999.9967488,-92.46,-9.24,3.96,0.40,-91.7,-9.16,-92.46,-0.01
1,Entry short,2025-01-01 19:30,RsiSE,94126.2,0.010624,999.9967488,-92.46,-9.24,3.96,0.40,-91.7,-9.16,-92.46,-0.01
2,Exit short,2025-01-07 14:30,TP Hit,100466.9,0.009804,999.9776076,13.61,1.36,14.3,1.43,-1,-0.10,-78.85,-0.01
2,Entry short,2025-01-07 04:00,RsiSE,101996.9,0.009804,999.9776076,13.61,1.36,14.3,1.43,-1,-0.10,-78.85,-0.01
3,Exit long,2025-01-15 16:30,TP Hit,97942,0.010363,999.9725035,13.59,1.36,14.3,1.43,-77.33,-7.73,-65.26,-0.01
3,Entry long,2025-01-08 00:00,RsiLE,96494.5,0.010363,999.9725035,13.59,1.36,14.3,1.43,-77.33,-7.73,-65.26,-0.01
4,Exit short,2025-01-16 17:30,TP Hit,97485.4,0.010104,999.99288,13.61,1.36,14.3,1.43,-19.86,-1.98,-51.65,-0.01
4,Entry short,2025-01-15 20:00,RsiSE,98970,0.010104,999.99288,13.61,1.36,14.3,1.43,-19.86,-1.98,-51.65,-0.01
5,Exit short,2025-01-20 03:30,TP Hit,99552.2,0.009894,999.9697602,13.61,1.36,14.3,1.43,-54.21,-5.42,-38.04,0.00
5,Entry short,2025-01-17 06:00,RsiSE,101068.3,0.009894,999.9697602,13.61,1.36,14.3,1.43,-54.21,-5.42,-38.04,0.00
6,Exit short,2025-01-20 18:30,TP Hit,105064.3,0.009375,999.9778125,13.61,1.36,14.3,1.43,-14.91,-1.49,-24.43,0.00
6,Entry short,2025-01-20 15:30,RsiSE,106664.3,0.009375,999.9778125,13.61,1.36,14.3,1.43,-14.91,-1.49,-24.43,0.00
7,Exit short,2025-01-21 18:00,TP Hit,102888.8,0.009573,999.9544161,13.61,1.36,14.3,1.43,-9.17,-0.92,-10.82,0.00
7,Entry short,2025-01-21 17:00,RsiSE,104455.7,0.009573,999.9544161,13.61,1.36,14.3,1.43,-9.17,-0.92,-10.82,0.00
8,Exit short,2025-01-22 16:30,TP Hit,104508.5,0.009425,999.9925,13.61,1.36,14.3,1.43,-7.55,-0.75,2.79,0.00
8,Entry short,2025-01-22 00:00,RsiSE,106100,0.009425,999.9925,13.61,1.36,14.3,1.43,-7.55,-0.75,2.79,0.00
9,Exit short,2025-01-23 23:30,TP Hit,102626.9,0.009597,999.9095106,13.61,1.36,14.3,1.43,-26.47,-2.65,16.4,0.00
9,Entry short,2025-01-23 18:30,RsiSE,104189.8,0.009597,999.9095106,13.61,1.36,14.3,1.43,-26.47,-2.65,16.4,0.00
10,Exit short,2025-01-24 23:30,TP Hit,104709.7,0.009406,999.8982458,13.61,1.36,14.3,1.43,-3.44,-0.34,30.01,0.00
10,Entry short,2025-01-24 22:00,RsiSE,106304.3,0.009406,999.8982458,13.61,1.36,14.3,1.43,-3.44,-0.34,30.01,0.00
11,Exit short,2025-01-27 02:00,TP Hit,103565.6,0.00951,999.908028,13.61,1.36,14.3,1.43,-1.66,-0.17,43.62,0.00
11,Entry short,2025-01-26 08:00,RsiSE,105142.8,0.00951,999.908028,13.61,1.36,14.3,1.43,-1.66,-0.17,43.62,0.00
12,Exit long,2025-01-29 23:00,TP Hit,104342,0.009727,999.9356,13.59,1.36,14.3,1.43,-50.36,-5.03,57.21,0.01
12,Entry long,2025-01-27 03:30,RsiLE,102800,0.009727,999.9356,13.59,1.36,14.3,1.43,-50.36,-5.03,57.21,0.01
13,Exit short,2025-01-31 22:00,TP Hit,102123.8,0.009645,999.983955,13.61,1.36,14.3,1.43,-27.15,-2.71,70.82,0.01
13,Entry short,2025-01-30 01:00,RsiSE,103679,0.009645,999.983955,13.61,1.36,14.3,1.43,-27.15,-2.71,70.82,0.01
14,Exit short,2025-02-04 08:00,TP Hit,99505.5,0.009898,999.9048682,13.61,1.36,14.3,1.43,-2.93,-0.29,84.43,0.01
14,Entry short,2025-02-04 05:30,RsiSE,101020.9,0.009898,999.9048682,13.61,1.36,14.3,1.43,-2.93,-0.29,84.43,0.01
15,Exit short,2025-02-06 19:30,TP Hit,96672.5,0.010189,999.9963483,13.61,1.36,14.3,1.43,-10.42,-1.04,98.04,0.01
15,Entry short,2025-02-06 10:30,RsiSE,98144.7,0.010189,999.9963483,13.61,1.36,14.3,1.43,-10.42,-1.04,98.04,0.01
16,Exit short,2025-02-07 22:30,TP Hit,96989.4,0.010155,999.926292,13.61,1.36,14.3,1.43,-8.13,-0.81,111.65,0.01
16,Entry short,2025-02-07 18:30,RsiSE,98466.4,0.010155,999.926292,13.61,1.36,14.3,1.43,-8.13,-0.81,111.65,0.01
17,Exit short,2025-02-10 00:30,TP Hit,95229.8,0.010343,999.96124,13.61,1.36,14.3,1.43,-6.85,-0.68,125.26,0.01
17,Entry short,2025-02-09 05:30,RsiSE,96680,0.010343,999.96124,13.61,1.36,14.3,1.43,-6.85,-0.68,125.26,0.01
18,Exit short,2025-02-11 20:00,TP Hit,96165.4,0.010242,999.9254358,13.61,1.36,14.3,1.43,-9.19,-0.92,138.87,0.01
18,Entry short,2025-02-10 15:00,RsiSE,97629.9,0.010242,999.9254358,13.61,1.36,14.3,1.43,-9.19,-0.92,138.87,0.01
19,Exit long,2025-02-12 19:30,TP Hit,96661.7,0.0105,999.9486,13.59,1.36,14.3,1.43,-13.64,-1.36,152.46,0.02
19,Entry long,2025-02-11 23:30,RsiLE,95233.2,0.0105,999.9486,13.59,1.36,14.3,1.43,-13.64,-1.36,152.46,0.02
20,Exit short,2025-02-13 09:30,TP Hit,95861.4,0.010275,999.9763575,13.61,1.36,14.3,1.43,-8.59,-0.86,166.07,0.02
20,Entry short,2025-02-12 21:00,RsiSE,97321.3,0.010275,999.9763575,13.61,1.36,14.3,1.43,-8.59,-0.86,166.07,0.02
21,Exit short,2025-02-17 19:30,TP Hit,95272.3,0.010338,999.9244416,13.61,1.36,14.3,1.43,-22.39,-2.24,179.68,0.02
21,Entry short,2025-02-14 04:00,RsiSE,96723.2,0.010338,999.9244416,13.61,1.36,14.3,1.43,-22.39,-2.24,179.68,0.02
22,Exit short,2025-02-24 17:30,TP Hit,94714.8,0.010399,999.9387228,13.61,1.36,14.3,1.43,-34.99,-3.50,193.29,0.02
22,Entry short,2025-02-19 16:00,RsiSE,96157.2,0.010399,999.9387228,13.61,1.36,14.3,1.43,-34.99,-3.50,193.29,0.02
23,Exit long,2025-02-25 15:00,TP Hit,89498.9,0.01134,999.918108,13.59,1.36,14.3,1.43,-7.04,-0.70,206.88,0.02
23,Entry long,2025-02-25 14:00,RsiLE,88176.2,0.01134,999.918108,13.59,1.36,14.3,1.43,-7.04,-0.70,206.88,0.02
24,Exit short,2025-02-27 17:30,TP Hit,85300.6,0.011547,999.9655812,13.61,1.36,14.3,1.43,-2.59,-0.26,220.49,0.02
24,Entry short,2025-02-27 14:30,RsiSE,86599.6,0.011547,999.9655812,13.61,1.36,14.3,1.43,-2.59,-0.26,220.49,0.02
25,Exit short,2025-03-02 19:30,SL Hit,91170.8,0.011966,999.9531492,-92.46,-9.24,4.06,0.41,-91.7,-9.16,128.03,0.01
25,Entry short,2025-02-28 21:00,RsiSE,83566.2,0.011966,999.9531492,-92.46,-9.24,4.06,0.41,-91.7,-9.16,128.03,0.01
26,Exit short,2025-03-03 09:30,TP Hit,91665.1,0.010745,999.9415195,13.61,1.36,14.3,1.43,-4.84,-0.48,141.64,0.01
