;Все USDT;Все %;Длинная позиция USDT;Длинная позиция %;Короткая позиция USDT;Короткая позиция %
Всего открытых сделок;0;;0;;0;
Всего сделок;154;;30;;124;
Прибыльные сделки;139;;27;;112;
Убыточные сделки;15;;3;;12;
Сделки в безубыток;0;;0;;0;
Процент прибыльных;;90.26;;90.00;;90.32
Средние ПР/УБ;6.51;0.65;6.1;0.61;6.61;0.66
Средняя прибыль по сделке;21.61;2.16;21.58;2.16;21.61;2.16
Средний убыток по сделке;133.44;13.34;133.27;13.32;133.48;13.34
Коэф. средней прибыли / среднего убытка;0.162;;0.162;;0.162;
Самая прибыльная сделка;21.62;;21.59;;21.62;
Самая прибыльная сделка, процент;;2.16;;2.16;;2.16
Самая убыточная сделка;133.49;;133.3;;133.49;
Самая убыточная сделка, процент;;13.34;;13.32;;13.34
Среднее # баров в позиции;99;;50;;111;
Среднее # баров в прибыльной позиции;85;;51;;93;
Среднее # баров в убыточной позиции;228;;45;;274;
