№ Сделки;Тип;Дата и время;Сигнал;Цена USDT;Размер позиции (кол-во);Размер позиции (цена);Чистая прибыль / убыток USDT;Чистая прибыль / убыток %;Благоприятное отклонение USDT;Благоприятное отклонение %;Неблагоприятное отклонение USDT;Неблагоприятное отклонение %;Совокупные ПР/УБ USDT;Совокупные ПР/УБ %
1;Выход из короткой позиции;2025-01-08 20:00;TP Достигнут;3257.92;0.2998;999.719076;21.61;2.16;22.29;2.23;-123.65;-12.36;21.61;0.22
1;Вход в короткую позицию;2025-01-01 16:30;RsiSE;3334.62;0.2998;999.719076;21.61;2.16;22.29;2.23;-123.65;-12.36;21.61;0.22
2;Выход из короткой позиции;2025-01-09 16:30;TP Достигнут;3246.11;0.3009;999.749277;21.61;2.16;22.29;2.23;-10.83;-1.08;43.22;0.43
2;Вход в короткую позицию;2025-01-09 02:30;RsiSE;3322.53;0.3009;999.749277;21.61;2.16;22.29;2.23;-10.83;-1.08;43.22;0.43
3;Выход из короткой позиции;2025-01-09 22:30;TP Достигнут;3210.09;0.3043;999.829381;21.62;2.16;22.3;2.23;-0.97;-0.10;64.84;0.65
3;Вход в короткую позицию;2025-01-09 20:30;RsiSE;3285.67;0.3043;999.829381;21.62;2.16;22.3;2.23;-0.97;-0.10;64.84;0.65
4;Выход из короткой позиции;2025-01-13 09:30;TP Достигнут;3183.05;0.3069;999.877131;21.62;2.16;22.3;2.23;-25.21;-2.52;86.45;0.86
4;Вход в короткую позицию;2025-01-11 00:00;RsiSE;3257.99;0.3069;999.877131;21.62;2.16;22.3;2.23;-25.21;-2.52;86.45;0.86
5;Выход из длинной позиции;2025-01-14 03:00;TP Достигнут;3146.13;0.3251;999.809289;21.58;2.16;22.3;2.23;-54.98;-5.49;108.03;1.08
5;Вход в длинную позицию;2025-01-13 16:30;RsiLE;3075.39;0.3251;999.809289;21.58;2.16;22.3;2.23;-54.98;-5.49;108.03;1.08
6;Выход из короткой позиции;2025-01-27 08:30;TP Достигнут;3118.41;0.3132;999.681156;21.61;2.16;22.3;2.23;-105.37;-10.53;129.65;1.30
6;Вход в короткую позицию;2025-01-14 19:30;RsiSE;3191.83;0.3132;999.681156;21.61;2.16;22.3;2.23;-105.37;-10.53;129.65;1.30
7;Выход из длинной позиции;2025-01-27 17:30;TP Достигнут;3139.42;0.3258;999.824814;21.58;2.16;22.3;2.23;-12.63;-1.26;151.23;1.51
7;Вход в длинную позицию;2025-01-27 11:00;RsiLE;3068.83;0.3258;999.824814;21.58;2.16;22.3;2.23;-12.63;-1.26;151.23;1.51
8;Выход из короткой позиции;2025-01-27 21:30;TP Достигнут;3045.3;0.3208;999.9336;21.62;2.16;22.3;2.23;-0.7;-0.07;172.85;1.73
8;Вход в короткую позицию;2025-01-27 19:30;RsiSE;3117;0.3208;999.9336;21.62;2.16;22.3;2.23;-0.7;-0.07;172.85;1.73
9;Выход из короткой позиции;2025-01-28 23:30;TP Достигнут;3097.38;0.3154;999.91262;21.62;2.16;22.3;2.23;-14.76;-1.48;194.46;1.94
9;Вход в короткую позицию;2025-01-28 17:30;RsiSE;3170.3;0.3154;999.91262;21.62;2.16;22.3;2.23;-14.76;-1.48;194.46;1.94
10;Выход из короткой позиции;2025-02-02 14:30;TP Достигнут;3050.82;0.3202;999.87253;21.62;2.16;22.3;2.23;-101.39;-10.13;216.08;2.16
10;Вход в короткую позицию;2025-01-29 08:00;RsiSE;3122.65;0.3202;999.87253;21.62;2.16;22.3;2.23;-101.39;-10.13;216.08;2.16
11;Выход из короткой позиции;2025-02-05 21:30;TP Достигнут;2722.23;0.3588;999.731616;21.61;2.16;22.3;2.23;-15.59;-1.56;237.69;2.38
11;Вход в короткую позицию;2025-02-05 16:00;RsiSE;2786.32;0.3588;999.731616;21.61;2.16;22.3;2.23;-15.59;-1.56;237.69;2.38
12;Выход из короткой позиции;2025-02-07 23:00;TP Достигнут;2645.65;0.3692;999.771448;21.61;2.16;22.3;2.23;-33.6;-3.36;259.3;2.59
12;Вход в короткую позицию;2025-02-07 08:30;RsiSE;2707.94;0.3692;999.771448;21.61;2.16;22.3;2.23;-33.6;-3.36;259.3;2.59
13;Выход из короткой позиции;2025-02-10 00:30;TP Достигнут;2570.33;0.3801;999.982284;21.62;2.16;22.3;2.23;-26.44;-2.64;280.92;2.81
13;Вход в короткую позицию;2025-02-09 03:30;RsiSE;2630.84;0.3801;999.982284;21.62;2.16;22.3;2.23;-26.44;-2.64;280.92;2.81
14;Выход из короткой позиции;2025-02-11 21:30;TP Достигнут;2609.79;0.3743;999.841389;21.61;2.16;22.3;2.23;-20.71;-2.07;302.53;3.03
14;Вход в короткую позицию;2025-02-10 23:00;RsiSE;2671.23;0.3743;999.841389;21.61;2.16;22.3;2.23;-20.71;-2.07;302.53;3.03
15;Выход из короткой позиции;2025-02-12 16:30;TP Достигнут;2557;0.382;999.7704;21.61;2.16;22.3;2.23;-18.68;-1.87;324.15;3.24
15;Вход в короткую позицию;2025-02-12 11:00;RsiSE;2617.2;0.382;999.7704;21.61;2.16;22.3;2.23;-18.68;-1.87;324.15;3.24
16;Выход из короткой позиции;2025-02-13 10:00;TP Достигнут;2675.96;0.3651;999.994296;21.62;2.16;22.3;2.23;-1.08;-0.11;345.76;3.46
16;Вход в короткую позицию;2025-02-13 07:30;RsiSE;2738.96;0.3651;999.994296;21.62;2.16;22.3;2.23;-1.08;-0.11;345.76;3.46
17;Выход из короткой позиции;2025-02-17 08:00;TP Достигнут;2648.43;0.3688;999.735664;21.61;2.16;22.29;2.23;-10.78;-1.08;367.37;3.67
17;Вход в короткую позицию;2025-02-15 03:30;RsiSE;2710.78;0.3688;999.735664;21.61;2.16;22.29;2.23;-10.78;-1.08;367.37;3.67
18;Выход из короткой позиции;2025-02-17 21:30;TP Достигнут;2705.08;0.3611;999.802847;21.61;2.16;22.3;2.23;-29.67;-2.97;388.99;3.89
18;Вход в короткую позицию;2025-02-17 16:30;RsiSE;2768.77;0.3611;999.802847;21.61;2.16;22.3;2.23;-29.67;-2.97;388.99;3.89
19;Выход из короткой позиции;2025-02-18 19:30;TP Достигнут;2638.27;0.3703;999.950714;21.62;2.16;22.3;2.23;-12.69;-1.27;410.6;4.11
19;Вход в короткую позицию;2025-02-18 08:00;RsiSE;2700.38;0.3703;999.950714;21.62;2.16;22.3;2.23;-12.69;-1.27;410.6;4.11
20;Выход из длинной позиции;2025-02-19 05:30;TP Достигнут;2689.19;0.3804;999.965088;21.59;2.16;22.3;2.23;-5.31;-0.53;432.19;4.32
20;Вход в длинную позицию;2025-02-18 23:00;RsiLE;2628.72;0.3804;999.965088;21.59;2.16;22.3;2.23;-5.31;-0.53;432.19;4.32
21;Выход из короткой позиции;2025-02-21 22:00;TP Достигнут;2643.33;0.3696;999.974976;21.62;2.16;22.3;2.23;-52.22;-5.22;453.81;4.54
21;Вход в короткую позицию;2025-02-19 21:30;RsiSE;2705.56;0.3696;999.974976;21.62;2.16;22.3;2.23;-52.22;-5.22;453.81;4.54
22;Выход из короткой позиции;2025-02-24 13:00;TP Достигнут;2675.53;0.3651;999.833652;21.61;2.16;22.3;2.23;-44.98;-4.50;475.42;4.75
22;Вход в короткую позицию;2025-02-22 18:00;RsiSE;2738.52;0.3651;999.833652;21.61;2.16;22.3;2.23;-44.98;-4.50;475.42;4.75
23;Выход из короткой позиции;2025-02-25 01:00;TP Достигнут;2616.23;0.3734;999.897988;21.61;2.16;22.3;2.23;-7.48;-0.75;497.04;4.97
23;Вход в короткую позицию;2025-02-24 16:00;RsiSE;2677.82;0.3734;999.897988;21.61;2.16;22.3;2.23;-7.48;-0.75;497.04;4.97
24;Выход из длинной позиции;2025-02-25 23:00;TP Достигнут;2489.35;0.4109;999.875842;21.58;2.16;22.3;2.23;-30.71;-3.07;518.62;5.19
24;Вход в длинную позицию;2025-02-25 15:00;RsiLE;2433.38;0.4109;999.875842;21.58;2.16;22.3;2.23;-30.71;-3.07;518.62;5.19
25;Выход из короткой позиции;2025-02-26 15:30;TP Достигнут;2438.08;0.4007;999.938836;21.62;2.16;22.3;2.23;-5.72;-0.57;540.23;5.40
25;Вход в короткую позицию;2025-02-26 03:00;RsiSE;2495.48;0.4007;999.938836;21.62;2.16;22.3;2.23;-5.72;-0.57;540.23;5.40
26;Выход из длинной позиции;2025-03-02 19:30;TP Достигнут;2391.89;0.4276;999.775836;21.58;2.16;22.3;2.23;-114.54;-11.45;561.81;5.62
26;Вход в длинную позицию;2025-02-27 00:00;RsiLE;2338.11;0.4276;999.775836;21.58;2.16;22.3;2.23;-114.54;-11.45;561.81;5.62
27;Выход из длинной позиции;2025-03-04 08:00;TP Достигнут;2114.02;0.4839;999.974511;21.58;2.16;22.3;2.23;-7.17;-0.72;583.4;5.83
27;Вход в длинную позицию;2025-03-04 06:00;RsiLE;2066.49;0.4839;999.974511;21.58;2.16;22.3;2.23;-7.17;-0.72;583.4;5.83
28;Выход из короткой позиции;2025-03-07 03:30;TP Достигнут;2110.31;0.4629;999.859371;21.61;2.16;22.3;2.23;-74.65;-7.46;605.01;6.05
28;Вход в короткую позицию;2025-03-05 07:00;RsiSE;2159.99;0.4629;999.859371;21.61;2.16;22.3;2.23;-74.65;-7.46;605.01;6.05
29;Выход из короткой позиции;2025-03-09 13:00;TP Достигнут;2150.89;0.4542;999.934926;21.62;2.16;22.3;2.23;-1.14;-0.11;626.63;6.27
29;Вход в короткую позицию;2025-03-09 04:30;RsiSE;2201.53;0.4542;999.934926;21.62;2.16;22.3;2.23;-1.14;-0.11;626.63;6.27
30;Выход из длинной позиции;2025-03-10 21:30;SL Достигнут;1862.05;0.4661;999.891703;-133.3;-13.32;2.21;0.22;-132.69;-13.26;493.33;4.93
30;Вход в длинную позицию;2025-03-09 15:00;RsiLE;2145.23;0.4661;999.891703;-133.3;-13.32;2.21;0.22;-132.69;-13.26;493.33;4.93
31;Выход из короткой позиции;2025-03-11 17:30;TP Достигнут;1858.44;0.5257;999.98654;21.62;2.16;22.3;2.23;-5.75;-0.57;514.95;5.15
31;Вход в короткую позицию;2025-03-11 17:00;RsiSE;1902.2;0.5257;999.98654;21.62;2.16;22.3;2.23;-5.75;-0.57;514.95;5.15
32;Выход из короткой позиции;2025-03-12 18:00;TP Достигнут;1847.43;0.5288;999.923784;21.62;2.16;22.3;2.23;-38.7;-3.87;536.57;5.37
32;Вход в короткую позицию;2025-03-11 20:30;RsiSE;1890.93;0.5288;999.923784;21.62;2.16;22.3;2.23;-38.7;-3.87;536.57;5.37
33;Выход из короткой позиции;2025-03-13 20:30;TP Достигнут;1829.92;0.5339;999.9947;21.62;2.16;22.3;2.23;-27.56;-2.75;558.19;5.58
33;Вход в короткую позицию;2025-03-13 08:00;RsiSE;1873;0.5339;999.9947;21.62;2.16;22.3;2.23;-27.56;-2.75;558.19;5.58
34;Выход из короткой позиции;2025-03-16 14:30;TP Достигнут;1866.57;0.5234;999.966168;21.62;2.16;22.3;2.23;-25;-2.50;579.81;5.80
34;Вход в короткую позицию;2025-03-15 03:00;RsiSE;1910.52;0.5234;999.966168;21.62;2.16;22.3;2.23;-25;-2.50;579.81;5.80
35;Выход из длинной позиции;2025-03-17 15:30;TP Достигнут;1931.3;0.5296;999.815952;21.58;2.16;22.3;2.23;-16.45;-1.64;601.39;6.01
35;Вход в длинную позицию;2025-03-16 15:30;RsiLE;1887.87;0.5296;999.815952;21.58;2.16;22.3;2.23;-16.45;-1.64;601.39;6.01
36;Выход из короткой позиции;2025-03-18 16:30;TP Достигнут;1878.81;0.52;999.986;21.62;2.16;22.3;2.23;-4.68;-0.47;623.01;6.23
36;Вход в короткую позицию;2025-03-18 02:30;RsiSE;1923.05;0.52;999.986;21.62;2.16;22.3;2.23;-4.68;-0.47;623.01;6.23
37;Выход из длинной позиции;2025-03-19 02:00;TP Достигнут;1930.92;0.5298;999.9975;21.59;2.16;22.3;2.23;-8.82;-0.88;644.6;6.45
37;Вход в длинную позицию;2025-03-18 17:30;RsiLE;1887.5;0.5298;999.9975;21.59;2.16;22.3;2.23;-8.82;-0.88;644.6;6.45
38;Выход из короткой позиции;2025-03-21 15:30;TP Достигнут;1938.16;0.504;999.83016;21.61;2.16;22.3;2.23;-6.77;-0.68;666.21;6.66
38;Вход в короткую позицию;2025-03-20 18:30;RsiSE;1983.79;0.504;999.83016;21.61;2.16;22.3;2.23;-6.77;-0.68;666.21;6.66
39;Выход из короткой позиции;2025-03-28 07:30;TP Достигнут;1920.29;0.5087;999.84985;21.61;2.16;22.3;2.23;-71.37;-7.13;687.83;6.88
39;Вход в короткую позицию;2025-03-22 02:00;RsiSE;1965.5;0.5087;999.84985;21.61;2.16;22.3;2.23;-71.37;-7.13;687.83;6.88
40;Выход из короткой позиции;2025-03-30 16:30;TP Достигнут;1794.75;0.5443;999.884543;21.62;2.16;22.3;2.23;-7.22;-0.72;709.45;7.09
40;Вход в короткую позицию;2025-03-30 09:00;RsiSE;1837.01;0.5443;999.884543;21.62;2.16;22.3;2.23;-7.22;-0.72;709.45;7.09
41;Выход из короткой позиции;2025-04-03 15:30;TP Достигнут;1774.85;0.5504;999.878656;21.62;2.16;22.3;2.23;-77.82;-7.78;731.06;7.31
41;Вход в короткую позицию;2025-03-31 15:30;RsiSE;1816.64;0.5504;999.878656;21.62;2.16;22.3;2.23;-77.82;-7.78;731.06;7.31
42;Выход из короткой позиции;2025-04-06 16:30;TP Достигнут;1741;0.5611;999.874589;21.62;2.16;22.3;2.23;-30.44;-3.04;752.68;7.53
42;Вход в короткую позицию;2025-04-04 05:00;RsiSE;1781.99;0.5611;999.874589;21.62;2.16;22.3;2.23;-30.44;-3.04;752.68;7.53
43;Выход из длинной позиции;2025-04-07 17:00;TP Достигнут;1616.32;0.6329;999.969342;21.58;2.16;22.3;2.23;-108.2;-10.81;774.26;7.74
43;Вход в длинную позицию;2025-04-07 03:00;RsiLE;1579.98;0.6329;999.969342;21.58;2.16;22.3;2.23;-108.2;-10.81;774.26;7.74
44;Выход из короткой позиции;2025-04-08 19:30;TP Достигнут;1509.1;0.6474;999.993462;21.62;2.16;22.3;2.23;-48.47;-4.84;795.88;7.96
44;Вход в короткую позицию;2025-04-07 23:00;RsiSE;1544.63;0.6474;999.993462;21.62;2.16;22.3;2.23;-48.47;-4.84;795.88;7.96
45;Выход из короткой позиции;2025-04-09 21:00;SL Достигнут;1651.96;0.6852;999.926064;-133.49;-13.34;12.95;1.29;-132.7;-13.26;662.39;6.62
45;Вход в короткую позицию;2025-04-09 10:00;RsiSE;1459.32;0.6852;999.926064;-133.49;-13.34;12.95;1.29;-132.7;-13.26;662.39;6.62
46;Выход из короткой позиции;2025-04-10 16:30;TP Достигнут;1559.41;0.6265;999.975445;21.62;2.16;22.31;2.23;-19.97;-2.00;684.01;6.84
46;Вход в короткую позицию;2025-04-10 13:30;RsiSE;1596.13;0.6265;999.975445;21.62;2.16;22.31;2.23;-19.97;-2.00;684.01;6.84
47;Выход из короткой позиции;2025-04-13 22:30;TP Достигнут;1582.55;0.6173;999.908713;21.62;2.16;22.3;2.23;-3.12;-0.31;705.63;7.06
47;Вход в короткую позицию;2025-04-13 22:30;RsiSE;1619.81;0.6173;999.908713;21.62;2.16;22.3;2.23;-3.12;-0.31;705.63;7.06
48;Выход из короткой позиции;2025-04-16 03:00;TP Достигнут;1579.52;0.6185;999.935135;21.62;2.16;22.3;2.23;-47.05;-4.70;727.25;7.27
48;Вход в короткую позицию;2025-04-14 05:00;RsiSE;1616.71;0.6185;999.935135;21.62;2.16;22.3;2.23;-47.05;-4.70;727.25;7.27
49;Выход из длинной позиции;2025-04-19 20:30;TP Достигнут;1631.19;0.6271;999.917221;21.59;2.16;22.3;2.23;-37.75;-3.77;748.84;7.49
49;Вход в длинную позицию;2025-04-16 04:30;RsiLE;1594.51;0.6271;999.917221;21.59;2.16;22.3;2.23;-37.75;-3.77;748.84;7.49
50;Выход из короткой позиции;2025-04-20 13:30;TP Достигнут;1575.9;0.6199;999.8987;21.61;2.16;22.3;2.23;-4.03;-0.40;770.45;7.70
50;Вход в короткую позицию;2025-04-20 05:30;RsiSE;1613;0.6199;999.8987;21.61;2.16;22.3;2.23;-4.03;-0.40;770.45;7.70
