TV trades loaded: 43
Running our backtest...
Our trades: 43

==============================================================================================================
#   | Dir   | TV entry         ep       | Our entry        ep       | TV exit          xp       | Our exit         xp       | TV PnL   Our PnL  | Exit | Notes
==============================================================================================================
  1 | short | 2025-01-04 15:30  3634.97 | 2025-01-04 12:30  3634.97 | 2025-01-07 22:30  3395.06 | 2025-01-07 19:30  3395.06 |    64.65    64.64 | TP  /?    | OK
  2 | short | 2025-01-15 17:00  3298.01 | 2025-01-15 14:00  3298.01 | 2025-01-27 09:30  3080.34 | 2025-01-27 06:30  3080.34 |    64.64    64.64 | TP  /?    | OK
  3 | short | 2025-02-06 01:00  2785.73 | 2025-02-05 22:00  2785.73 | 2025-02-07 23:30  2601.87 | 2025-02-07 20:30  2601.87 |    64.63    64.63 | TP  /?    | OK
  4 | long  | 2025-02-12 17:30  2569.02 | 2025-02-12 14:30  2569.02 | 2025-02-13 01:00  2738.58 | 2025-02-12 22:00  2738.58 |    64.55    64.54 | TP  /?    | OK
  5 | short | 2025-02-18 01:00  2775.53 | 2025-02-17 22:00  2775.53 | 2025-02-25 01:00  2592.34 | 2025-02-24 22:00  2592.35 |    64.63    64.63 | TP  /?    | OK
  6 | short | 2025-03-02 19:30  2267.09 | 2025-03-02 16:30  2267.09 | 2025-03-03 22:30  2117.46 | 2025-03-03 19:30  2117.46 |    64.63    64.63 | TP  /?    | OK
  7 | short | 2025-03-05 22:30  2212.08 | 2025-03-05 19:30  2212.08 | 2025-03-09 19:30  2066.08 | 2025-03-09 16:30  2066.08 |    64.64    64.64 | TP  /?    | OK
  8 | long  | 2025-03-12 17:30  1876.31 | 2025-03-12 14:30  1876.31 | 2025-03-19 14:00  2000.15 | 2025-03-19 11:00  2000.15 |    64.55    64.55 | TP  /?    | OK
  9 | long  | 2025-03-21 08:30  1971.59 | 2025-03-21 05:30  1971.59 | 2025-03-24 14:00  2101.72 | 2025-03-24 11:00  2101.71 |    64.56    64.55 | TP  /?    | OK
 10 | short | 2025-03-26 04:00  2070.90 | 2025-03-26 01:00  2070.90 | 2025-03-28 07:30  1934.22 | 2025-03-28 04:30  1934.22 |    64.64    64.64 | TP  /?    | OK
 11 | short | 2025-04-05 12:30  1817.84 | 2025-04-05 09:30  1817.84 | 2025-04-06 20:00  1697.86 | 2025-04-06 17:00  1697.86 |    64.65    64.65 | TP  /?    | OK
 12 | short | 2025-04-09 17:00  1486.95 | 2025-04-09 14:00  1486.95 | 2025-04-10 00:00  1683.23 | 2025-04-09 21:00  1683.23 |  -133.49  -133.49 | SL  /?    | OK
 13 | long  | 2025-04-16 21:00  1544.39 | 2025-04-16 18:00  1544.39 | 2025-04-21 08:30  1646.32 | 2025-04-21 05:30  1646.32 |    64.55    64.55 | TP  /?    | OK
 14 | long  | 2025-04-25 00:30  1751.79 | 2025-04-24 21:30  1751.79 | 2025-05-01 18:00  1867.41 | 2025-05-01 15:00  1867.41 |    64.55    64.55 | TP  /?    | OK
 15 | long  | 2025-05-03 20:30  1819.62 | 2025-05-03 17:30  1819.62 | 2025-05-08 10:30  1939.72 | 2025-05-08 07:30  1939.71 |    64.55    64.55 | TP  /?    | OK
 16 | long  | 2025-05-15 05:30  2589.34 | 2025-05-15 02:30  2589.34 | 2025-05-29 05:30  2760.24 | 2025-05-29 02:30  2760.24 |    64.54    64.54 | TP  /?    | OK
 17 | short | 2025-06-04 18:30  2648.61 | 2025-06-04 15:30  2648.61 | 2025-06-05 23:00  2473.80 | 2025-06-05 20:00  2473.80 |    64.64    64.64 | TP  /?    | OK
 18 | long  | 2025-06-13 22:00  2528.50 | 2025-06-13 19:00  2528.50 | 2025-06-22 16:00  2194.73 | 2025-06-22 13:00  2194.74 |  -133.28  -133.28 | SL  /?    | OK
 19 | short | 2025-06-30 01:30  2477.98 | 2025-06-29 22:30  2477.98 | 2025-07-10 10:00  2805.08 | 2025-07-10 07:00  2805.07 |  -133.48  -133.47 | SL  /?    | OK
 20 | long  | 2025-07-12 15:30  2948.13 | 2025-07-12 12:30  2948.13 | 2025-07-16 02:00  3142.71 | 2025-07-15 23:00  3142.71 |    64.54    64.53 | TP  /?    | OK
 21 | long  | 2025-07-22 23:00  3670.11 | 2025-07-22 20:00  3670.11 | 2025-07-28 08:00  3912.34 | 2025-07-28 05:00  3912.34 |    64.54    64.54 | TP  /?    | OK
 22 | long  | 2025-07-30 22:00  3736.95 | 2025-07-30 19:00  3736.95 | 2025-08-08 16:30  3983.59 | 2025-08-08 13:30  3983.59 |    64.53    64.53 | TP  /?    | OK
 23 | short | 2025-08-17 06:00  4433.01 | 2025-08-17 03:00  4433.01 | 2025-08-19 19:30  4140.43 | 2025-08-19 16:30  4140.43 |    64.62    64.62 | TP  /?    | OK
